,Location,Date,Value
367,Erna Fergusson Library Bicycle Eastbound,2018-02,863.0
368,Erna Fergusson Library Bicycle Westbound,2018-02,925.0
369,Erna Fergusson Library PED Eastbound,2018-02,2382.0
370,Erna Fergusson Library PED Westbound,2018-02,1702.0
371,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2018-02,2653.0
372,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2018-02,2416.0
373,North Diversion Channel Trail & Indian School Pedestrians NORTH,2018-02,1264.0
374,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2018-02,1335.0
375,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2018-02,2177.0
376,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2018-02,2145.0
377,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2018-02,1197.0
378,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2018-02,1207.0
379,Jerry Cline Park Cyclists IN West,2018-02,1251.0
380,Paseo del Bosque & Montano Rd Cyclists North,2018-02,3913.0
